GradientMap:,pyramid.png
GradientMap Scale:,10*10
LMap TotalSize:,100
LMap FieldSize:,5
LMap Resolution:,20*20
Mode:,2
Gradient Speed:,0.15000000596046
Explore Speed:,2.5
Target Epsilon:,0.050000000745058
Width Factor:,2
Step Factor:,0.5
CP EpsilonRatio:,0.5
IMU Noise:,0


Time steps,Height
50,0.094117648899555
100,0.094117648899555
150,0.094117648899555
200,0.094117648899555
250,0.094117648899555
300,0.094117648899555
350,0.094117648899555
400,0.094117648899555
450,0.094117648899555
500,0.094117648899555
550,0.094117648899555
600,0.094117648899555
650,0.094117648899555
700,0.094117648899555
750,0.094117648899555
800,0.094117648899555
850,0.094117648899555
900,0.094117648899555
950,0.094117648899555
1000,0.094117648899555
1050,0.094117648899555
1100,0.094117648899555
1149,0.094117648899555
1199,0.094117648899555
1249,0.094117648899555
1299,0.094117648899555
1349,0.094117648899555
1399,0.094117648899555
1449,0.094117648899555
1499,0.094117648899555
1549,0.094117648899555
1599,0.094117648899555
1649,0.094117648899555
1699,0.094117648899555
1749,0.094117648899555
1799,0.094117648899555
1849,0.094117648899555
1899,0.094117648899555
1949,0.094117648899555
1999,0.094117648899555
2049,0.090196080505848
2099,0.090196080505848
2149,0.090196080505848
2199,0.090196080505848
2249,0.090196080505848
2299,0.090196080505848
2349,0.090196080505848
2399,0.090196080505848
2449,0.090196080505848
2499,0.090196080505848
2549,0.090196080505848
2599,0.090196080505848
2649,0.090196080505848
2699,0.090196080505848
2749,0.090196080505848
2799,0.090196080505848
2849,0.090196080505848
2899,0.090196080505848
2949,0.090196080505848
2999,0.090196080505848
3049,0.090196080505848
3099,0.090196080505848
3149,0.090196080505848
3199,0.090196080505848
3249,0.090196080505848
3299,0.090196080505848
3349,0.090196080505848
3399,0.090196080505848
3449,0.090196080505848
3499,0.090196080505848
3549,0.090196080505848
3599,0.090196080505848
3649,0.090196080505848
3699,0.086274512112141
3749,0.086274512112141
3799,0.086274512112141
3849,0.086274512112141
3899,0.086274512112141
3949,0.086274512112141
3999,0.086274512112141
4049,0.086274512112141
4099,0.086274512112141
4149,0.086274512112141
4199,0.086274512112141
4249,0.086274512112141
4299,0.086274512112141
4349,0.082352943718433
4399,0.082352943718433
4449,0.082352943718433
4499,0.082352943718433
4549,0.082352943718433
4599,0.082352943718433
4649,0.082352943718433
4699,0.082352943718433
4750,0.082352943718433
4800,0.082352943718433
4850,0.082352943718433
4900,0.082352943718433
4950,0.082352943718433
5000,0.082352943718433
5050,0.082352943718433
5100,0.082352943718433
5150,0.078431375324726
5200,0.078431375324726
5250,0.078431375324726
5300,0.078431375324726
5350,0.078431375324726
5400,0.078431375324726
5450,0.078431375324726
5500,0.078431375324726
5550,0.078431375324726
5600,0.078431375324726
5650,0.078431375324726
5700,0.078431375324726
5750,0.078431375324726
5800,0.078431375324726
5850,0.078431375324726
5900,0.078431375324726
5950,0.078431375324726
6000,0.078431375324726
6050,0.078431375324726
6100,0.078431375324726
6150,0.074509806931019
6200,0.074509806931019
6250,0.074509806931019
6300,0.074509806931019
6350,0.074509806931019
6400,0.074509806931019
6450,0.074509806931019
6500,0.074509806931019
6550,0.074509806931019
6600,0.074509806931019
6650,0.070588238537312
6700,0.070588238537312
6750,0.070588238537312
6800,0.070588238537312
6850,0.070588238537312
6900,0.070588238537312
6950,0.070588238537312
7000,0.066666670143604
7050,0.066666670143604
7100,0.066666670143604
7150,0.066666670143604
7200,0.066666670143604
7250,0.066666670143604
7300,0.066666670143604
7350,0.066666670143604
7400,0.066666670143604
7450,0.066666670143604
7500,0.066666670143604
7550,0.066666670143604
7600,0.066666670143604
7650,0.062745101749897
7700,0.062745101749897
7750,0.062745101749897
7800,0.062745101749897
7850,0.062745101749897
7900,0.062745101749897
7950,0.066666670143604
8000,0.066666670143604
8050,0.066666670143604
8100,0.066666670143604
8150,0.066666670143604
8200,0.066666670143604
8250,0.066666670143604
8300,0.066666670143604
8350,0.066666670143604
8400,0.066666670143604
8450,0.066666670143604
8500,0.066666670143604
8550,0.070588238537312
8600,0.070588238537312
8650,0.070588238537312
8700,0.070588238537312
8750,0.070588238537312
8800,0.070588238537312
8850,0.070588238537312
