Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_RATE_ATTITUDE:theta	NPS_RATE_ATTITUDE:phi	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_x	NPS_SPEED_POS:ltpp_yd	NPS_SPEED_POS:ltpp_xd
7.559	14:02:1.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
7.809	14:02:1.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
8.059	14:02:1.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
8.309	14:02:2.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
8.559	14:02:2.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	-0.
8.809	14:02:2.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
9.059	14:02:2.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
9.309	14:02:3.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
9.559	14:02:3.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
9.809	14:02:3.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
10.059	14:02:3.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
10.309	14:02:4.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
10.559	14:02:4.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
10.809	14:02:4.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	-0.	0.
11.059	14:02:4.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
11.309	14:02:5.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
11.559	14:02:5.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
11.809	14:02:5.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
12.059	14:02:5.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	-0.	0.
12.309	14:02:6.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
12.559	14:02:6.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
12.809	14:02:6.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	-0.	0.
13.059	14:02:6.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
13.309	14:02:7.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
13.559	14:02:7.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
13.809	14:02:7.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
14.059	14:02:7.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
14.309	14:02:8.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
14.559	14:02:8.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
14.809	14:02:8.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
15.059	14:02:8.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
15.309	14:02:9.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
15.559	14:02:9.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
15.809	14:02:9.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	-0.	0.
16.059	14:02:9.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
16.309	14:02:10.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
16.559	14:02:10.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
16.809	14:02:10.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
17.059	14:02:10.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
17.309	14:02:11.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
17.559	14:02:11.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	-0.	0.
17.809	14:02:11.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	-0.	0.
18.059	14:02:11.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
18.309	14:02:12.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
18.559	14:02:12.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
18.809	14:02:12.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	-0.	0.
19.059	14:02:12.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	0.
19.309	14:02:13.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
19.559	14:02:13.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
19.809	14:02:13.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
20.059	14:02:13.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
20.309	14:02:14.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
20.559	14:02:14.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
20.809	14:02:14.676	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
21.059	14:02:14.926	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
21.309	14:02:15.176	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
21.559	14:02:15.426	52.138611024	11.645278122	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
21.809	14:02:15.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
22.059	14:02:15.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
22.309	14:02:16.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
22.559	14:02:16.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
22.809	14:02:16.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
23.059	14:02:16.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
23.309	14:02:17.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
23.559	14:02:17.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
23.809	14:02:17.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
24.059	14:02:17.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
24.309	14:02:18.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
24.559	14:02:18.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
24.809	14:02:18.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006082	0.004777	0.	-0.
25.059	14:02:18.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
25.309	14:02:19.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
25.559	14:02:19.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
25.809	14:02:19.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
26.059	14:02:19.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
26.309	14:02:20.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
26.559	14:02:20.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
26.809	14:02:20.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
27.059	14:02:20.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
27.309	14:02:21.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
27.559	14:02:21.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
27.809	14:02:21.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
28.059	14:02:21.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
