GradientMap:,large_hills_smooth.png
GradientMap Scale:,10*10
LMap TotalSize:,100
LMap FieldSize:,5
LMap Resolution:,20*20
Mode:,1
Gradient Speed:,0.15000000596046
Explore Speed:,2.5
Target Epsilon:,0.050000000745058
Width Factor:,2
Step Factor:,0.5
CP EpsilonRatio:,0.5
IMU Noise:,0


Time steps,Height
50,0.78823530673981
100,0.78823530673981
150,0.78823530673981
200,0.78823530673981
250,0.78823530673981
300,0.78823530673981
350,0.78823530673981
400,0.78823530673981
450,0.78823530673981
500,0.78823530673981
550,0.78823530673981
600,0.78823530673981
650,0.78823530673981
700,0.78823530673981
750,0.78823530673981
800,0.78823530673981
850,0.79215687513351
900,0.79215687513351
950,0.79215687513351
1000,0.79215687513351
1050,0.79215687513351
1100,0.79215687513351
1149,0.79607844352722
1199,0.79607844352722
1249,0.79607844352722
1299,0.79607844352722
1349,0.80000001192093
1399,0.80000001192093
1449,0.80000001192093
1499,0.80000001192093
1549,0.80000001192093
1599,0.80000001192093
1649,0.80000001192093
1699,0.80392158031464
1749,0.80392158031464
1799,0.80392158031464
1849,0.80392158031464
1899,0.80392158031464
1949,0.80784314870834
1999,0.80784314870834
2049,0.80784314870834
2099,0.80784314870834
2149,0.80784314870834
2199,0.80784314870834
2249,0.80784314870834
2299,0.80784314870834
2349,0.80784314870834
2399,0.80784314870834
2449,0.81176471710205
2499,0.81176471710205
2549,0.81176471710205
2599,0.81176471710205
2649,0.81176471710205
2699,0.81176471710205
2749,0.81176471710205
2799,0.81176471710205
2849,0.81176471710205
2899,0.81176471710205
2949,0.81176471710205
2999,0.81176471710205
3049,0.81176471710205
3099,0.81176471710205
3149,0.81568628549576
3199,0.81568628549576
3249,0.81568628549576
3299,0.81568628549576
3349,0.81568628549576
3399,0.81568628549576
3449,0.81568628549576
3499,0.81568628549576
3549,0.81568628549576
3599,0.81568628549576
3649,0.81568628549576
3699,0.81568628549576
3749,0.81568628549576
3799,0.81568628549576
3849,0.81568628549576
3899,0.81568628549576
3949,0.81568628549576
3999,0.81568628549576
4049,0.81568628549576
4099,0.81568628549576
4149,0.81568628549576
4199,0.81568628549576
4249,0.81568628549576
4299,0.81568628549576
4349,0.81568628549576
4399,0.81568628549576
4449,0.81568628549576
4499,0.81176471710205
4549,0.81176471710205
4599,0.81176471710205
4649,0.81176471710205
4699,0.81176471710205
4750,0.81176471710205
4800,0.81176471710205
4850,0.81176471710205
4900,0.81176471710205
4950,0.81176471710205
5000,0.81176471710205
5050,0.81176471710205
5100,0.81176471710205
5150,0.81176471710205
5200,0.81176471710205
5250,0.80784314870834
5300,0.80784314870834
5350,0.80784314870834
5400,0.80784314870834
5450,0.80784314870834
5500,0.80784314870834
5550,0.80784314870834
5600,0.80784314870834
5650,0.80784314870834
5700,0.80784314870834
5750,0.80392158031464
5800,0.80392158031464
5850,0.80392158031464
5900,0.80392158031464
5950,0.80392158031464
6000,0.80392158031464
6050,0.80392158031464
6100,0.80392158031464
6150,0.80392158031464
6200,0.80392158031464
6250,0.80392158031464
6300,0.80392158031464
6350,0.80000001192093
6400,0.80000001192093
6450,0.80000001192093
6500,0.80392158031464
6550,0.80392158031464
6600,0.80392158031464
6650,0.80392158031464
6700,0.80392158031464
6750,0.80392158031464
6800,0.80392158031464
6850,0.80392158031464
6900,0.80392158031464
6950,0.80392158031464
7000,0.80392158031464
7050,0.80392158031464
7100,0.80392158031464
7150,0.80784314870834
7200,0.80784314870834
7250,0.80784314870834
7300,0.80784314870834
7350,0.80784314870834
7400,0.80784314870834
7450,0.81176471710205
7500,0.81176471710205
7550,0.81176471710205
7600,0.81176471710205
7650,0.81176471710205
7700,0.81176471710205
7750,0.81176471710205
7800,0.81176471710205
7850,0.81568628549576
7900,0.81568628549576
7950,0.81568628549576
8000,0.81568628549576
8050,0.81568628549576
8100,0.81960785388947
8150,0.81960785388947
8200,0.81960785388947
8250,0.81960785388947
8300,0.81960785388947
8350,0.81960785388947
8400,0.81960785388947
8450,0.81960785388947
8500,0.82352942228317
8550,0.82352942228317
8600,0.82352942228317
8650,0.82352942228317
8700,0.82352942228317
8750,0.82352942228317
8800,0.82352942228317
