Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_x
30.798	05:11:46.798	52.138625277	11.645302655	1.697603	1.601045
31.048	05:11:47.048	52.138629279	11.645309559	2.16829	2.047257
31.298	05:11:47.298	52.138633246	11.645316348	2.641584	2.49522
31.548	05:11:47.548	52.138637037	11.645322852	3.078692	2.908048
31.798	05:11:47.798	52.138640513	11.645328900	3.482177	3.287896
32.048	05:11:48.048	52.138644094	11.645334491	3.869514	3.690467
32.298	05:11:48.298	52.138648026	11.645338656	4.153693	4.126911
32.548	05:11:48.548	52.138652905	11.645341509	4.349651	4.679273
32.798	05:11:48.798	52.138658101	11.645342593	4.419863	5.257739
33.048	05:11:49.048	52.138663858	11.645341851	4.368883	5.891625
33.298	05:11:49.298	52.138669616	11.645339226	4.185071	6.538822
33.548	05:11:49.548	52.138674881	11.645335233	3.909392	7.122489
33.798	05:11:49.798	52.138679270	11.645330783	3.598272	7.618464
34.048	05:11:50.048	52.138683798	11.645325191	3.220368	8.112571
34.298	05:11:50.298	52.138687835	11.645319315	2.810682	8.568475
34.548	05:11:50.548	52.138691557	11.645313153	2.389692	8.977331
34.798	05:11:50.798	52.138694295	11.645307391	1.988602	9.2858
35.048	05:11:51.048	52.138696436	11.645300373	1.531449	9.508365
35.298	05:11:51.298	52.138697665	11.645292100	0.96107	9.644965
35.548	05:11:51.548	52.138697911	11.645283884	0.381725	9.674577
35.798	05:11:51.798	52.138697349	11.645274756	-0.255618	9.608201
36.048	05:11:52.048	52.138695699	11.645264372	-0.970473	9.419231
36.298	05:11:52.298	52.138693101	11.645254273	-1.652193	9.127161
36.548	05:11:52.548	52.138689766	11.645244803	-2.284108	8.762639
36.798	05:11:52.798	52.138686607	11.645237557	-2.788645	8.406911
37.048	05:11:53.048	52.138683307	11.645230938	-3.238572	8.038198
37.298	05:11:53.298	52.138679726	11.645224777	-3.655488	7.647529
37.548	05:11:53.548	52.138675864	11.645218900	-4.053026	7.221511
37.798	05:11:53.798	52.138671897	11.645214336	-4.367611	6.774629
38.048	05:11:54.048	52.138667228	11.645211483	-4.559202	6.25858
38.298	05:11:54.298	52.138661857	11.645210513	-4.626997	5.633906
38.548	05:11:54.548	52.138655328	11.645211312	-4.568164	4.91248
38.798	05:11:54.798	52.138648131	11.645214051	-4.385259	4.134323
39.048	05:11:55.048	52.138640759	11.645218444	-4.072913	3.286338
39.298	05:11:55.298	52.138633843	11.645223807	-3.695188	2.505438
39.548	05:11:55.548	52.138626681	11.645230596	-3.224284	1.706345
39.798	05:11:55.798	52.138617975	11.645240409	-2.557066	0.749492
40.048	05:11:56.048	52.138609304	11.645251535	-1.807074	-0.203396
40.298	05:11:56.298	52.138601230	11.645262774	-1.031466	-1.10765
40.548	05:11:56.548	52.138593471	11.645274356	-0.238082	-1.971194
40.798	05:11:56.798	52.138586555	11.645285197	0.519898	-2.750725
41.048	05:11:57.048	52.138580587	11.645295067	1.191968	-3.409379
41.298	05:11:57.298	52.138573952	11.645306649	1.965455	-4.128809
41.548	05:11:57.548	52.138568932	11.645316006	2.620309	-4.699227
41.798	05:11:57.798	52.138564614	11.645324278	3.175845	-5.170668
42.048	05:11:58.048	52.138560472	11.645330954	3.634123	-5.632573
42.298	05:11:58.298	52.138555873	11.645336659	4.028803	-6.158742
42.548	05:11:58.548	52.138550853	11.645340938	4.314532	-6.71144
42.798	05:11:58.798	52.138546956	11.645342992	4.453008	-7.151076
43.048	05:11:59.048	52.138542989	11.645343848	4.506425	-7.585437
43.298	05:11:59.298	52.138538706	11.645343049	4.445081	-8.065233
43.548	05:11:59.548	52.138534985	11.645340310	4.258477	-8.464059
43.798	05:11:59.798	52.138532282	11.645336488	3.990072	-8.770848
44.048	05:12:0.048	52.138529895	11.645331125	3.616164	-9.033212
44.298	05:12:0.298	52.138528245	11.645325020	3.194437	-9.217768
44.548	05:12:0.548	52.138527156	11.645318516	2.753384	-9.335229
44.798	05:12:0.798	52.138526595	11.645312696	2.367023	-9.393565
45.048	05:12:1.048	52.138526349	11.645307276	1.985777	-9.419431
45.298	05:12:1.298	52.138526454	11.645300601	1.533183	-9.406496
45.548	05:12:1.548	52.138527121	11.645293070	1.005491	-9.328065
45.798	05:12:1.798	52.138528736	11.645283656	0.360199	-9.145601
46.048	05:12:2.048	52.138531334	11.645273900	-0.308795	-8.852703
46.298	05:12:2.298	52.138535231	11.645263174	-1.020768	-8.431561
46.548	05:12:2.548	52.138539689	11.645253132	-1.713237	-7.932225
46.798	05:12:2.798	52.138544569	11.645243547	-2.388238	-7.375619
47.048	05:12:3.048	52.138549800	11.645234134	-3.029086	-6.793922
47.298	05:12:3.298	52.138554820	11.645225690	-3.602282	-6.23695
47.548	05:12:3.548	52.138559383	11.645218672	-4.076921	-5.733961
47.798	05:12:3.798	52.138563701	11.645213537	-4.436899	-5.238277
48.048	05:12:4.048	52.138569073	11.645209030	-4.733819	-4.646838
48.298	05:12:4.298	52.138574865	11.645206120	-4.934823	-3.992833
48.548	05:12:4.548	52.138580763	11.645204751	-5.023745	-3.348677
48.798	05:12:4.798	52.138586169	11.645204922	-5.011796	-2.766296
49.048	05:12:5.048	52.138591295	11.645206520	-4.893744	-2.168689
