Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_RATE_ATTITUDE:theta	NPS_RATE_ATTITUDE:phi	y	x	NPS_SPEED_POS:ltpp_yd	NPS_SPEED_POS:ltpp_xd
156.809	14:04:30.676	52.138571741	11.645241322	-12.72763	3.70732	-2.509954	-4.377465	2.415657	-2.471447
157.059	14:04:30.926	52.138568476	11.645246971	-14.842904	17.52269	-2.12909	-4.732911	2.461195	-1.980781
157.309	14:04:31.176	52.138566124	11.645253018	-13.600307	24.171478	-1.704721	-5.000284	2.778411	-1.291752
157.559	14:04:31.426	52.138564684	11.645260435	-11.890594	23.407233	-1.203896	-5.155803	3.218412	-0.585556
157.809	14:04:31.676	52.138564263	11.645267909	-11.384527	19.430375	-0.683103	-5.200158	3.571331	-0.009537
158.059	14:04:31.926	52.138564649	11.645276581	-12.130264	14.430188	-0.070766	-5.155327	3.824949	0.540256
158.309	14:04:32.176	52.138565913	11.645286737	-13.822582	9.577823	0.602478	-5.015356	3.93027	1.070022
158.559	14:04:32.426	52.138568055	11.645297007	-13.305814	4.948941	1.323881	-4.770232	3.891587	1.574993
158.809	14:04:32.676	52.138570898	11.645307105	-11.289633	0.619391	2.017319	-4.448685	3.757715	1.953602
159.059	14:04:32.926	52.138574058	11.645316234	-9.349936	-3.211831	2.633217	-4.09909	3.564596	2.187729
159.309	14:04:33.176	52.138576901	11.645323308	-7.92872	-6.1801	3.131447	-3.77457	3.349542	2.306461
159.559	14:04:33.426	52.138580693	11.645331752	-6.527537	-9.182281	3.693658	-3.362394	3.031969	2.362489
159.809	14:04:33.676	52.138584484	11.645339283	-5.422241	-11.358798	4.195634	-2.947425	2.667904	2.342224
160.059	14:04:33.926	52.138587608	11.645344761	-9.76095	-13.459072	4.587183	-2.584601	2.308368	2.284765
160.309	14:04:34.176	52.138591435	11.645350067	-21.667411	-13.792278	4.937918	-2.17126	1.669407	2.49505
160.559	14:04:34.426	52.138595577	11.645353376	-25.789994	-11.2569	5.166741	-1.691841	0.936031	2.981066
160.809	14:04:34.676	52.138600773	11.645354973	-21.796076	-10.281571	5.271574	-1.105723	0.247955	3.509044
161.059	14:04:34.926	52.138606741	11.645354916	-15.737467	-11.513322	5.26189	-0.454678	-0.344276	3.853082
161.309	14:04:35.176	52.138612007	11.645353661	-11.248361	-13.494823	5.174582	0.135139	-0.813961	3.986954
161.559	14:04:35.426	52.138618115	11.645351036	-7.174837	-14.899751	4.98593	0.830771	-1.346588	3.985286
161.809	14:04:35.676	52.138624856	11.645346643	-3.324112	-13.289555	4.697094	1.543397	-1.822471	3.876567
162.059	14:04:35.926	52.138630964	11.645341337	0.763534	-10.844052	4.318511	2.255685	-2.178192	3.690481
162.309	14:04:36.176	52.138636476	11.645335689	4.305196	-8.822086	3.934476	2.85751	-2.373934	3.466844
162.559	14:04:36.426	52.138641847	11.645329356	7.700603	-7.023881	3.489535	3.465079	-2.469778	3.165722
162.809	14:04:36.676	52.138646972	11.645322453	10.41596	-5.606708	3.026737	4.023952	-2.464771	2.80571
163.059	14:04:36.926	52.138651466	11.645315720	12.380707	-5.172013	2.567899	4.516618	-2.375364	2.408981
163.309	14:04:37.176	52.138654941	11.645309444	14.158207	-19.888364	2.147843	4.894427	-2.460718	1.828194
163.559	14:04:37.426	52.138657258	11.645302541	12.075597	-25.692147	1.655896	5.158938	-2.865791	1.010895
163.809	14:04:37.676	52.138658312	11.645294896	10.343235	-23.396728	1.122607	5.269119	-3.327369	0.290394
164.059	14:04:37.926	52.138658241	11.645285082	10.30496	-17.841464	0.449326	5.25749	-3.729105	-0.39053
164.309	14:04:38.176	52.138657504	11.645277323	11.438979	-13.617971	-0.086369	5.171296	-3.904201	-0.832081
164.559	14:04:38.426	52.138655889	11.645267567	12.633581	-9.210915	-0.722275	4.998685	-3.973067	-1.302719
164.809	14:04:38.676	52.138653572	11.645257697	11.627796	-4.719725	-1.415363	4.731087	-3.932357	-1.734733
165.059	14:04:38.926	52.138650483	11.645247541	9.883972	-0.217973	-2.112576	4.387754	-3.801346	-2.056598
165.309	14:04:39.176	52.138647007	11.645237785	8.314911	4.048596	-2.782341	3.995729	-3.587007	-2.254009
165.559	14:04:39.426	52.138643076	11.645228200	7.074382	7.873992	-3.439024	3.554825	-3.27754	-2.344131
165.809	14:04:39.676	52.138639495	11.645220441	6.27714	10.414563	-3.95938	3.162522	-2.948284	-2.343416
166.059	14:04:39.926	52.138635738	11.645213195	5.573799	12.24755	-4.457173	2.743126	-2.548694	-2.281904
166.309	14:04:40.176	52.138631912	11.645206748	15.536987	14.422851	-4.886382	2.32826	-2.044677	-2.248287
166.559	14:04:40.426	52.138628261	11.645202526	25.056226	12.578749	-5.187339	1.901915	-1.302719	-2.567887
166.809	14:04:40.676	52.138623451	11.645199901	25.857504	9.547272	-5.352457	1.388126	-0.538349	-3.120899
167.059	14:04:40.926	52.138618291	11.645199388	20.445318	9.367312	-5.388766	0.801278	0.101089	-3.594696
167.309	14:04:41.176	52.138612920	11.645200187	15.014042	10.94901	-5.332171	0.213893	0.608444	-3.858492
167.559	14:04:41.426	52.138606952	11.645202355	10.092263	13.445086	-5.176302	-0.481395	1.146793	-3.966003
167.809	14:04:41.676	52.138600563	11.645206006	6.082795	13.067796	-4.924794	-1.189436	1.646042	-3.928303
168.059	14:04:41.926	52.138594630	11.645210513	2.398166	11.370925	-4.623625	-1.825614	2.006531	-3.820657
168.309	14:04:42.176	52.138589258	11.645215534	-1.422405	9.549422	-4.263283	-2.453916	2.263069	-3.650188
168.559	14:04:42.426	52.138583501	11.645221696	-5.25238	7.907229	-3.840225	-3.089497	2.417564	-3.402233
168.809	14:04:42.676	52.138578516	11.645227744	-8.287338	6.728387	-3.428853	-3.637512	2.465248	-3.115177
169.059	14:04:42.926	52.138573742	11.645234248	-10.740617	5.793049	-2.991547	-4.161082	2.436399	-2.762794
169.309	14:04:43.176	52.138569564	11.645240524	-12.646661	7.150944	-2.565359	-4.618701	2.341509	-2.380371
169.559	14:04:43.426	52.138566159	11.645246742	-13.728837	21.901026	-2.128709	-5.000811	2.46787	-1.718044
169.809	14:04:43.676	52.138564017	11.645253703	-11.338464	26.514485	-1.673137	-5.2291	2.858877	-0.936508


