GradientMap:,pyramid.png
GradientMap Scale:,10*10
LMap TotalSize:,100
LMap FieldSize:,5
LMap Resolution:,20*20
Mode:,0
Gradient Speed:,0.15000000596046
Explore Speed:,2.5
Target Epsilon:,0.050000000745058
Width Factor:,2
Step Factor:,0.5
CP EpsilonRatio:,0.5
IMU Noise:,0


Time steps,Height
50,0.28235295414925
100,0.28235295414925
150,0.28235295414925
200,0.28235295414925
250,0.28235295414925
300,0.28235295414925
350,0.28235295414925
400,0.28235295414925
450,0.28235295414925
500,0.28235295414925
550,0.28235295414925
600,0.28235295414925
650,0.28235295414925
700,0.28235295414925
750,0.28235295414925
800,0.28235295414925
850,0.28235295414925
900,0.27843138575554
950,0.27843138575554
1000,0.27843138575554
1050,0.27843138575554
1100,0.27843138575554
1149,0.27843138575554
1199,0.27843138575554
1249,0.27450981736183
1299,0.27450981736183
1349,0.27450981736183
1399,0.27450981736183
1449,0.27450981736183
1499,0.27450981736183
1549,0.27450981736183
1599,0.27058824896812
1649,0.27058824896812
1699,0.27058824896812
1749,0.27058824896812
1799,0.27058824896812
1849,0.27058824896812
1899,0.27058824896812
1949,0.27058824896812
1999,0.27058824896812
2049,0.27058824896812
2099,0.27058824896812
2149,0.27058824896812
2199,0.27058824896812
2249,0.27058824896812
2299,0.27058824896812
2349,0.27058824896812
2399,0.27058824896812
2449,0.27058824896812
2499,0.27058824896812
2549,0.27058824896812
2599,0.27058824896812
2649,0.27058824896812
2699,0.27058824896812
2749,0.27058824896812
2799,0.27058824896812
2849,0.27058824896812
2899,0.27058824896812
2949,0.27058824896812
2999,0.27058824896812
3049,0.27058824896812
3099,0.27058824896812
3149,0.27058824896812
3199,0.27058824896812
3249,0.27058824896812
3299,0.27058824896812
3349,0.27058824896812
3399,0.27058824896812
3449,0.27058824896812
3499,0.27058824896812
3549,0.27058824896812
3599,0.27058824896812
3649,0.27058824896812
3699,0.27058824896812
3749,0.27058824896812
3799,0.27058824896812
3849,0.27058824896812
3899,0.27450981736183
3949,0.27450981736183
3999,0.27450981736183
4049,0.27450981736183
4099,0.27450981736183
4149,0.27843138575554
4199,0.27843138575554
4249,0.27843138575554
4299,0.27843138575554
4349,0.28235295414925
4399,0.28235295414925
4449,0.28235295414925
4499,0.28235295414925
4549,0.28235295414925
4599,0.28627452254295
4649,0.28627452254295
4699,0.28627452254295
4750,0.28627452254295
4800,0.29019609093666
4850,0.29019609093666
4900,0.29019609093666
4950,0.29019609093666
5000,0.29411765933037
5050,0.29411765933037
5100,0.29411765933037
5150,0.29411765933037
5200,0.29803922772408
5250,0.29803922772408
5300,0.29803922772408
5350,0.29803922772408
5400,0.29803922772408
5450,0.30196079611778
5500,0.30196079611778
5550,0.30196079611778
5600,0.30196079611778
5650,0.30588236451149
5700,0.30588236451149
5750,0.30588236451149
5800,0.30588236451149
5850,0.30588236451149
5900,0.3098039329052
5950,0.3098039329052
6000,0.3098039329052
6050,0.3098039329052
6100,0.3137255012989
6150,0.3137255012989
6200,0.3137255012989
6250,0.3137255012989
6300,0.3137255012989
6350,0.31764706969261
6400,0.31764706969261
6450,0.31764706969261
6500,0.31764706969261
6550,0.31764706969261
6600,0.31764706969261
6650,0.32156863808632
6700,0.32156863808632
6750,0.32156863808632
6800,0.32156863808632
6850,0.32156863808632
6900,0.32156863808632
6950,0.32156863808632
7000,0.32156863808632
7050,0.32156863808632
7100,0.32156863808632
7150,0.32156863808632
7200,0.32156863808632
7250,0.32156863808632
7300,0.32156863808632
7350,0.32156863808632
7400,0.31764706969261
7450,0.31764706969261
7500,0.31764706969261
7550,0.31764706969261
7600,0.31764706969261
7650,0.31764706969261
7700,0.3137255012989
7750,0.3137255012989
7800,0.3137255012989
7850,0.3137255012989
7900,0.3137255012989
7950,0.3098039329052
8000,0.3098039329052
8050,0.3098039329052
8100,0.3098039329052
8150,0.3098039329052
8200,0.3098039329052
8250,0.30588236451149
8300,0.30588236451149
8350,0.30588236451149
8400,0.30588236451149
8450,0.30588236451149
8500,0.30588236451149
8550,0.30588236451149
8600,0.30196079611778
8650,0.30196079611778
8700,0.30196079611778
8750,0.30196079611778
8800,0.30196079611778
8850,0.29803922772408
