GradientMap:,pyramid.png
GradientMap Scale:,10*10
LMap TotalSize:,100
LMap FieldSize:,5
LMap Resolution:,20*20
Mode:,1
Gradient Speed:,0.15000000596046
Explore Speed:,2.5
Target Epsilon:,0.050000000745058
Width Factor:,2
Step Factor:,0.5
CP EpsilonRatio:,0.5
IMU Noise:,0.5


Time steps,Height
50,0.55686277151108
100,0.55686277151108
150,0.55686277151108
200,0.55686277151108
250,0.55686277151108
300,0.55686277151108
350,0.55686277151108
400,0.55686277151108
450,0.55686277151108
500,0.56078433990479
550,0.56078433990479
600,0.56078433990479
650,0.55686277151108
700,0.55686277151108
750,0.55686277151108
800,0.55686277151108
850,0.55686277151108
900,0.55686277151108
950,0.55686277151108
1000,0.55686277151108
1050,0.55686277151108
1100,0.55686277151108
1149,0.55686277151108
1199,0.55686277151108
1249,0.55686277151108
1299,0.55686277151108
1349,0.55686277151108
1399,0.55686277151108
1449,0.55686277151108
1499,0.55294120311737
1549,0.55294120311737
1599,0.55294120311737
1649,0.55294120311737
1699,0.55294120311737
1749,0.55294120311737
1799,0.55294120311737
1849,0.55294120311737
1899,0.55294120311737
1949,0.55294120311737
1999,0.55294120311737
2049,0.54901963472366
2099,0.54901963472366
2149,0.54901963472366
2199,0.54901963472366
2249,0.54901963472366
2299,0.54901963472366
2349,0.54901963472366
2399,0.54901963472366
2449,0.54901963472366
2499,0.54901963472366
2549,0.54901963472366
2599,0.54509806632996
2649,0.54509806632996
2699,0.54509806632996
2749,0.54509806632996
2799,0.54509806632996
2849,0.54509806632996
2899,0.54509806632996
2949,0.54509806632996
2999,0.54509806632996
3049,0.54509806632996
3099,0.54509806632996
3149,0.54509806632996
3199,0.54509806632996
3249,0.54509806632996
3299,0.54509806632996
3349,0.54509806632996
3399,0.54509806632996
3449,0.54509806632996
3499,0.54509806632996
3549,0.54509806632996
3599,0.54509806632996
3649,0.54509806632996
3699,0.54509806632996
3749,0.54509806632996
3799,0.54509806632996
3849,0.54509806632996
3899,0.54509806632996
3949,0.54509806632996
3999,0.54509806632996
4049,0.54509806632996
4099,0.54509806632996
4149,0.54509806632996
4199,0.54509806632996
4249,0.54509806632996
4299,0.54509806632996
4349,0.54509806632996
4399,0.54509806632996
4449,0.54901963472366
4499,0.54901963472366
4549,0.54901963472366
4599,0.54901963472366
4649,0.54901963472366
4699,0.54901963472366
4750,0.54901963472366
4800,0.54901963472366
4850,0.54901963472366
4900,0.54901963472366
4950,0.55294120311737
5000,0.55294120311737
5050,0.55294120311737
5100,0.55294120311737
5150,0.55294120311737
5200,0.55294120311737
5250,0.55294120311737
5300,0.55294120311737
5350,0.55686277151108
5400,0.55686277151108
5450,0.55686277151108
5500,0.55686277151108
5550,0.55686277151108
5600,0.55686277151108
5650,0.55686277151108
5700,0.55686277151108
5750,0.56078433990479
5800,0.56078433990479
5850,0.56078433990479
5900,0.56078433990479
5950,0.56078433990479
6000,0.56078433990479
6050,0.56078433990479
6100,0.56470590829849
6150,0.56470590829849
6200,0.56470590829849
6250,0.56470590829849
6300,0.56470590829849
6350,0.56470590829849
6400,0.56470590829849
6450,0.5686274766922
6500,0.5686274766922
6550,0.5686274766922
6600,0.5686274766922
6650,0.5686274766922
6700,0.5686274766922
6750,0.5686274766922
6800,0.57254904508591
6850,0.57254904508591
6900,0.57254904508591
6950,0.57254904508591
7000,0.57254904508591
7050,0.57254904508591
7100,0.57254904508591
7150,0.57254904508591
7200,0.57254904508591
7250,0.57647061347961
7300,0.57647061347961
7350,0.57647061347961
7400,0.57647061347961
7450,0.57647061347961
7500,0.57647061347961
7550,0.57647061347961
7600,0.57647061347961
7650,0.57647061347961
7700,0.57647061347961
7750,0.57647061347961
7800,0.58039218187332
7850,0.58039218187332
7900,0.58039218187332
7950,0.58039218187332
8000,0.58039218187332
8050,0.58039218187332
8100,0.58039218187332
8150,0.58039218187332
8200,0.58431375026703
8250,0.58431375026703
8300,0.58431375026703
8350,0.58431375026703
8400,0.58431375026703
8450,0.58431375026703
8500,0.58823531866074
8550,0.58823531866074
8600,0.58823531866074
8650,0.58823531866074
8700,0.58823531866074
8750,0.58823531866074
8800,0.58823531866074
8850,0.58823531866074
